BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10509,Sanford Ltd – Steward Island Glory Bay Salmon Farms,New Zealand,salmonfarm,Salmon,3/13/2015,
F10520,Dam Doi Farm - Ca Mau Seafood Processing and Service Joint Stock Company,Viet Nam,farm,Shrimp,6/16/2015,
F10526,"Hainan Xinhaiyang Aquatic Products Co., Ltd.",China,farm,Tilapia,7/20/2015,
F10532A,Good Luck - Cluster 6 - Jai Farm,Thailand,farm,Shrimp,6/4/2015,
F10532H,Good Luck - Cluster 6 - Wirot Farm,Thailand,farm,Shrimp,6/4/2015,
F10533AE,Exportadora Los Fiordos Cluster Farms - Quetros 1,Chile,salmonfarm,Salmon,fallow,
F10533AI,Exportadora Los Fiordos Cluster Farms- Garrao 2,Chile,salmonfarm,Salmon,fallow,
F10533AK,Exportadora Los Fiordos - Cluster - Jesus 3,Chile,salmonfarm,Salmon,7/26/2015,
F10533B,Exportadora Los Fiordos - Cluster - Valverde 2,Chile,salmonfarm,Salmon,8/22/2015,
F10533R,Exportadora Los Fiordos - Cluster- Jesus 1,Chile,salmonfarm,Salmon,7/26/2015,
F10535,Procesadora Camaronera Ecuatoriana - Procae C. LTDA,Ecuador,farm,Shrimp,4/21/2015,
F10538,Camarones y Langotinos del Mar - Calademar S.A.,Ecuador,farm,Shrimp,4/21/2015,
F10539D,Multiexport Foods - Punta Ganso,Chile,salmonfarm,Salmon,fallow,
F10539G,Multiexport Foods - Yelin,Chile,salmonfarm,Salmon,fallow,
F10547C,Stapimex - Sunnyvale - Hoa Nghia Farm Group 1 - Son Da Ra,Viet Nam,farm,Shrimp,1/6/2015,
F10547F,Stapimex - Sunnyvale - Hoa Nghia Farm Group 1 - Truong Hoang Son,Viet Nam,farm,Shrimp,1/6/2015,
F10550,Xuwen county Xinliao Town Shidaoxiao Farm - Zhanjiang Longwei,China,farm,Shrimp,8/19/2015,
F10552F,Granja Marina Tornagaleones S.A. - Ganso,Chile,salmonfarm,Salmon,fallow,
F10563,Maoming Xinzhou - Dianbai Shrimp Farm,China,farm,Shrimp,8/25/2015,
F10575J,Empresas AquaChile - Cluster - Mauchil,Chile,salmonfarm,Salmon,fallow,
F10580,Phu Tan Farm - TG Fishery Holdings Corporation,Viet Nam,farm,Pangasius,4/19/2015,
F10584C,Marine Harvest - Chile - Chequian,Chile,salmonfarm,Salmon,fallow,
F10599,Granjas Marinas - Honduras - Aquacultivos de Honduras AQH,Honduras,farm,Shrimp,6/30/2015,
F10607,PT. Maju Tambak Sumur,Indonesia,farm,Shrimp,2/11/2015,
F10610,Jayalakshmi Sea Foods Pvt Ltd,India,farm,Shrimp,11/14/2015,
F10625E,Satya Sea Foods IOM 1 - Chunru.Chithambraeswra Rao Farms,India,farm,Shrimp,6/8/2015,
F10628B,Choice Trading Corporation Pvt Ltd IOM 2 - M. Harshavardhan Raju Farm,India,farm,Shrimp,5/17/2015,
